Category,Sub-Category,Sl.No.,Ministry/Department,Scheme,2021-2022 Actuals,2022-2023 Budget Estimates,2022-2023 Revised Estimates,2023-2024 Budget Estimates
PART A: 100% Women specific programmes,Demand No. 2,1,Department of Agricultural Research and Education,"Central Institute for Women in Agriculture, Bhubaneshwar",5.08,3.64,4.34,4.9
PART A: 100% Women specific programmes,Demand No. 2,2,Department of Agricultural Research and Education,"All India Co-ordinated Research Project on Home Science, Bhubneshwar",4,4.8,4.3,4.75
PART A: 100% Women specific programmes,Demand No. 2,NA,Department of Agricultural Research and Education,Total,9.08,8.44,8.64,9.65
PART A: 100% Women specific programmes,Demand No. 4,1,Ministry of Ayush,"North Eastern Institute of Ayurveda and Homeopathy, Shillong",4.41,0,0,0
PART A: 100% Women specific programmes,Demand No. 4,2,Ministry of Ayush,Central Council For Research in Siddha (CCRS),0.2,0.44,0.28,0.32
PART A: 100% Women specific programmes,Demand No. 4,3,Ministry of Ayush,Central Council for Research in Ayurvedic Sciences (CCRAS),7,5.1,2.72,5
PART A: 100% Women specific programmes,Demand No. 4,4,Ministry of Ayush,National Institute of Ayurveda,13,13.5,13.5,15
PART A: 100% Women specific programmes,Demand No. 4,NA,Ministry of Ayush,Total,24.61,19.04,16.5,20.32
PART A: 100% Women specific programmes,Demand No. 10,1,Department of Commerce,Training and Development (Rubber Board),0.17,0,0.16,0.32
PART A: 100% Women specific programmes,Demand No. 12,1,Department of Posts,Estate Management,0,1,1,1
PART A: 100% Women specific programmes,Demand No. 26,1,Department of Higher Education,Prime Minister's Girls' Hostel,0,20,5,10
PART A: 100% Women specific programmes,Demand No. 29,1,Ministry of External Affairs,"Setting of unit producing low cost, biodegradable and compostable Sanitary Pads in Ethiopia",0,2.83,0,0
PART A: 100% Women specific programmes,Demand No. 29,2,Ministry of External Affairs,Donation of Sewing machines to Namibia,0,0.38,0,0.75
PART A: 100% Women specific programmes,Demand No. 29,3,Ministry of External Affairs,"Distribution of LPG gas stoves and cylinders to poor, underprivileged and marginalized families of five municipalities in Mahottari-3, Province -2 of Nepal.",0,4.99,0,1.56
PART A: 100% Women specific programmes,Demand No. 29,4,Ministry of External Affairs,Distribution of LPG gas stoves cylinders and necessary accessories to 3000 poor underprivileged and marginalized families of Sarlahi Rautahat and Saptari districts in Province 2.,0,2.05,1.28,0
PART A: 100% Women specific programmes,Demand No. 29,5,Ministry of External Affairs,Afghan National Army Women Special Cadre Training at Indian Defence Institute,0,0.46,0,0
PART A: 100% Women specific programmes,Demand No. 29,6,Ministry of External Affairs,"Construction of a Five-Storied Women's Hostel at Umesh Chandra Nirmala Bala Chatrabash, Chalibandar, Sylhet",0,0.39,0,0
PART A: 100% Women specific programmes,Demand No. 29,7,Ministry of External Affairs,Donation of Sewing machines to Zimbabwe,0,0.38,0.54,0.06
PART A: 100% Women specific programmes,Demand No. 29,8,Ministry of External Affairs,Construction of india Palestine center for empowering women in palestine,0,0,3,3
PART A: 100% Women specific programmes,Demand No. 29,9,Ministry of External Affairs,"Setting up of 04 Barefoot Vocational Training Centres (BVTCs) in African countries through Barefoot College, Tilonia (Senegal, Tanzania, Burkina Faso, Liberia)",0,0,0,3
PART A: 100% Women specific programmes,Demand No. 29,10,Ministry of External Affairs,Setting up of unit producing low cost biodegradable and composite sanitary pads to Ethiopia,0,0,0,3.78
PART A: 100% Women specific programmes,Demand No. 29,11,Ministry of External Affairs,"One Stop Centres (OSC) (Bahrain,Qatar,Dubai,Kuwait,Oman , Riyadh , Jeddah, Singapore and Canada)",0,0,1.25,7.34
PART A: 100% Women specific programmes,Demand No. 29,12,Ministry of External Affairs,"Solar electrification of 2800 houses in 14 PICs and provide llivelihood including training of women solar engineers,'Solar Mamas'.(14 Pacific Island Countries PNG, Solomon Islands, Fiji, Tonga, Tuvalu,Kiribati,Samoa,Niue,Vanuatu,Cook Islands,Nauru,Pa",0,0,5,0
PART A: 100% Women specific programmes,Demand No. 29,13,Ministry of External Affairs,Construction of shelter for victims of crime primarily use of gender or family violence against women,0,0,3,3
PART A: 100% Women specific programmes,Demand No. 29,14,Ministry of External Affairs,Proposal for new project for supply of furniture etc for the girls hostel Umesh Chandra Nirmala Bala Chatrabash in Sylhet,1.55,0,0.32,0.21
PART A: 100% Women specific programmes,Demand No. 29,NA,Ministry of External Affairs,Total,1.55,11.48,14.39,22.7
PART A: 100% Women specific programmes,Demand No. 47,1,Department of Health Research,Research Studies by ICMR,71.52,72.36,90,96.47
PART A: 100% Women specific programmes,Demand No. 49,1,Ministry of Home Affairs,Grant in aid to Govt. of Tripura for maintenance of Brus lodged in relief camps of Tripura,130.08,0,130,220
PART A: 100% Women specific programmes,Demand No. 51,1,Police,"Schemes like Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of Sashastra Seema Bal",0.35,0.45,0.26,0.28
PART A: 100% Women specific programmes,Demand No. 51,2,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Women's Rest rooms by ITBP",0.05,0.06,0.08,0.07
PART A: 100% Women specific programmes,Demand No. 51,3,Police,Women Specific Programme of BSF,2,2,1,1
PART A: 100% Women specific programmes,Demand No. 51,4,Police,Women Specific Programme of Assam Rifles,0.2,0.25,8.28,38.64
PART A: 100% Women specific programmes,Demand No. 51,5,Police,"Schemes like Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of CRPF",0.62,0.62,0.62,0.65
PART A: 100% Women specific programmes,Demand No. 51,6,Police,"Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of CENTRAL INDUSTRIAL SECURITY FORCE",0.25,0.35,0.34,0.36
PART A: 100% Women specific programmes,Demand No. 51,7,Police,Safe City Projects,37.89,520.04,165.11,1300.1
PART A: 100% Women specific programmes,Demand No. 51,8,Police,Training and Capacity Building,9,16,13,16
PART A: 100% Women specific programmes,Demand No. 51,9,Police,Emergency Response Support System,100,250,36.13,221
PART A: 100% Women specific programmes,Demand No. 51,10,Police,Strengthening of Central Forensic Science Laboratories Chandigarh,1.96,28.55,28.55,35
PART A: 100% Women specific programmes,Demand No. 51,11,Police,Strengthening of State Forensic Science Laboratories,18.31,50,50,0
PART A: 100% Women specific programmes,Demand No. 51,12,Police,Anti Human Trafficking Units/ Women Help Desk,0,28,0,0
PART A: 100% Women specific programmes,Demand No. 51,NA,Police,Total,170.63,896.32,303.37,1613.1
PART A: 100% Women specific programmes,Demand No. 52,1,Andaman and Nicobar Islands,Women Empowerment,26.39,31.01,29.44,30.45
PART A: 100% Women specific programmes,Demand No. 53,1,Chandigarh,Empowerment of Women,17.6,17.6,17.6,16.95
PART A: 100% Women specific programmes,Demand No. 53,2,Chandigarh,"Women Polytechnic, Girls Hostel",6.44,7.1,7.16,7.16
PART A: 100% Women specific programmes,Demand No. 53,3,Chandigarh,"Incentives to girls students, women education, working women hostel, and laptop and bycycle to girls students",21.65,25.87,22.35,26.13
PART A: 100% Women specific programmes,Demand No. 53,4,Chandigarh,Government ITI for women,3.54,4.64,4.65,3.56
PART A: 100% Women specific programmes,Demand No. 53,5,Chandigarh,Assistance to SC Women,0.01,0.02,0.01,0.01
PART A: 100% Women specific programmes,Demand No. 53,6,Chandigarh,"Creches, Aganwadi Centre, Apni Beti Apna Dhan Scheme, National Family Benefits Schemes etc.",17.6,17.6,9.06,9.3
PART A: 100% Women specific programmes,Demand No. 53,7,Chandigarh,Upgradation of CHC,21.25,24,24.11,22.66
PART A: 100% Women specific programmes,Demand No. 53,NA,Chandigarh,Total,88.09,96.83,84.94,85.77
PART A: 100% Women specific programmes,Demand No. 54,1,Dadra and Nagar Haveli and Daman and Diu,"Scholarship, Health Insurance, Free Bicycle, Sukanya Satkar Yojana for U.T of Dadra and Nagar Haveli and Daman and Diu",18,18.8,18.8,18
PART A: 100% Women specific programmes,Demand No. 54,2,Dadra and Nagar Haveli and Daman and Diu,"Assistance, Training, Balika Shivir, Empowerment and Education for UT of Dadra and Nagar Haveli and Daman and Diu",0,0.45,0.45,0.45
PART A: 100% Women specific programmes,Demand No. 54,NA,Dadra and Nagar Haveli and Daman and Diu,Total,18,19.25,19.25,18.45
PART A: 100% Women specific programmes,Demand No. 55,1,Ladakh,Women in Distress,2.55,2.7,2.7,2.7
PART A: 100% Women specific programmes,Demand No. 55,2,Ladakh,Assistance for Marriage,0.7,0.7,0.7,0.7
PART A: 100% Women specific programmes,Demand No. 55,NA,Ladakh,Total,3.25,3.4,3.4,3.4
PART A: 100% Women specific programmes,Demand No. 56,1,Lakshadweep,Scheme for child and women development,2.8,2.85,2.85,2.75
PART A: 100% Women specific programmes,Demand No. 60,1,Ministry of Housing and Urban Affairs,Pradhan Mantri Awas Yojana (Urban),59963.04,0,28708.01,25103.03
PART A: 100% Women specific programmes,Demand No. 68,1,"Ministry of Micro, Small and Medium Enterprises",Mahila Coir Yojna,3.82,4.21,4.21,5.6
PART A: 100% Women specific programmes,Demand No. 70,1,Ministry of Minority Affairs,Scheme for Leadership Development of Minority Women,2.99,2.5,2,0.1
PART A: 100% Women specific programmes,Demand No. 76,1,Ministry of Petroleum and Natural Gas,LPG connection to Poor Households,1568.44,0,8010,0.01
PART A: 100% Women specific programmes,Demand No. 86,1,Ministry of Road Transport and Highways,Scheme for Safety of Women on Public Road Transport,27.92,20,30,50
PART A: 100% Women specific programmes,Demand No. 87,1,Department of Rural Development,Rural Housing (Pradhan Mantri Awaas Yojana),30056.88,20000,48422,54487
PART A: 100% Women specific programmes,Demand No. 87,2,Department of Rural Development,Indira Gandhi National Widow Pension Scheme,1769.2,2027,2027,2027
PART A: 100% Women specific programmes,Demand No. 87,NA,Department of Rural Development,Total,31826.08,22027,50449,56514
PART A: 100% Women specific programmes,Demand No. 89,1,Department of Science and Technology,DISHA Programme for women in science,96.71,125,81,131.2
PART A: 100% Women specific programmes,Demand No. 91,1,Department of Scientific and Industrial Research,TDUPW,1.92,2.5,2.6,1.6
PART A: 100% Women specific programmes,Demand No. 92,1,Ministry of Skill Development and Entrepreneurship,National Skill Training Institution,48.74,65.85,64.28,68
PART A: 100% Women specific programmes,Demand No. 99,1,Ministry of Tourism,Safe Tourist destinations for women,0,0,5.27,5.27
PART A: 100% Women specific programmes,Demand No. 101,1,Ministry of Women and Child Development,Other Scheme Funded from Nirbhaya Fund,2.55,20,20,20
PART A: 100% Women specific programmes,Demand No. 101,2,Ministry of Women and Child Development,Central Social Welfare Board,63.73,37.74,50.41,40.06
PART A: 100% Women specific programmes,Demand No. 101,3,Ministry of Women and Child Development,National Commission for Women,25.79,27,33.7,42
PART A: 100% Women specific programmes,Demand No. 101,4,Ministry of Women and Child Development,Saksham Anganwadi and Poshan 2.0,18,150,150,870
PART A: 100% Women specific programmes,Demand No. 101,5,Ministry of Women and Child Development,SAMBAL,179.35,562,333,562
PART A: 100% Women specific programmes,Demand No. 101,6,Ministry of Women and Child Development,SAMARTHYA,1733.03,2547.11,1911.93,2496.96
PART A: 100% Women specific programmes,Demand No. 101,NA,Ministry of Women and Child Development,Total,2022.45,3343.85,2499.04,4031.02
PART A Total :,PART A Total :,PART A Total :,PART A Total :,PART A Total :,96108.28,26772.89,90564.35,88044.21
PART B: 30% Women specific programmes,Demand No. 1,1,Department of Agriculture and Farmers Welfare,Sub-Mission on Agriculture Mechanisation,78.75,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,2,Department of Agriculture and Farmers Welfare,National Project on Soil Health and Fertility,23.63,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,3,Department of Agriculture and Farmers Welfare,Rainfed Area Development and Climate change,13.5,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,4,Department of Agriculture and Farmers Welfare,National Project on Agro-Forestry,2.55,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,5,Department of Agriculture and Farmers Welfare,Parampragat Krishi Vikas Yojna,33.75,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,6,Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,278.43,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,7,Department of Agriculture and Farmers Welfare,Pradhan Mantri Krishi Sinchai Yojna-Per-Drop More Crop,300,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,8,Department of Agriculture and Farmers Welfare,National Food Security Mission,157.2,0,0,0
PART B: 30% Women specific programmes,Demand No. 1,9,Department of Agriculture and Farmers Welfare,Sub - Mission on Seed and Planting Material,33.6,91.5,75,0
PART B: 30% Women specific programmes,Demand No. 1,10,Department of Agriculture and Farmers Welfare,Sub - Mission on Agriculture Extension,88.03,300,240,0
PART B: 30% Women specific programmes,Demand No. 1,11,Department of Agriculture and Farmers Welfare,Organic Value Chain Development for North East Region,15,59.4,39,0
PART B: 30% Women specific programmes,Demand No. 1,12,Department of Agriculture and Farmers Welfare,Krishonnati Yojna,0,0,0,2119.94
PART B: 30% Women specific programmes,Demand No. 1,13,Department of Agriculture and Farmers Welfare,National Food and Nutrition Security Mission (NFNSM),0,418.5,270,0
PART B: 30% Women specific programmes,Demand No. 1,14,Department of Agriculture and Farmers Welfare,National Mission on Edible Oil-Oil Palm (NMEO-OP),0,270,210,0
PART B: 30% Women specific programmes,Demand No. 1,15,Department of Agriculture and Farmers Welfare,National Mission on Edible Oil-Oilseeds (NMEO-OS),0,180,150,0
PART B: 30% Women specific programmes,Demand No. 1,16,Department of Agriculture and Farmers Welfare,Mission for Integrated Development of Horticulture,178.88,570,330,0
PART B: 30% Women specific programmes,Demand No. 1,NA,Department of Agriculture and Farmers Welfare,Total,1203.32,1889.4,1314,2119.94
PART B: 30% Women specific programmes,Demand No. 2,1,Department of Agricultural Research and Education,ICAR-National Agricultural Innovation Project,0,0,0.8,0.43
PART B: 30% Women specific programmes,Demand No. 3,1,Atomic Energy,Women and Child Welfare,17,25,25,25
PART B: 30% Women specific programmes,Demand No. 4,1,Ministry of Ayush,National Institute of Naturopathy,0.04,0.05,0.05,0.06
PART B: 30% Women specific programmes,Demand No. 4,2,Ministry of Ayush,Central Council for Research in Homoeopathy (CCRH),18,15,15,15
PART B: 30% Women specific programmes,Demand No. 4,3,Ministry of Ayush,Rashtriya Ayurveda Vidyapeeth (RAV),3.36,5,7.5,8.26
PART B: 30% Women specific programmes,Demand No. 4,4,Ministry of Ayush,Central Council for Research in Unani Medicine,8,11.25,9,8.5
PART B: 30% Women specific programmes,Demand No. 4,NA,Ministry of Ayush,Total,29.4,31.3,31.55,31.82
PART B: 30% Women specific programmes,Demand No. 10,1,Department of Commerce,Women Welfare Activities in Plantation Boards,0,5,0,0
PART B: 30% Women specific programmes,Demand No. 10,2,Department of Commerce,"Training, Labour Welfare (Rubber Board)",0.05,0,0.35,0.45
PART B: 30% Women specific programmes,Demand No. 10,NA,Department of Commerce,Total,0.05,5,0.35,0.45
PART B: 30% Women specific programmes,Demand No. 14,1,Department of Consumer Affairs,Consumer Awareness Scheme,0,12.13,8.48,8.72
PART B: 30% Women specific programmes,Demand No. 14,2,Department of Consumer Affairs,Strengtheing of Legal Metrology Scheme,0,0,0,13.57
PART B: 30% Women specific programmes,Demand No. 14,NA,Department of Consumer Affairs,Total,0,12.13,8.48,22.29
PART B: 30% Women specific programmes,Demand No. 18,1,Ministry of Culture,Financial Assistance for Promotion of Art and Culture,18.1,18.1,18.1,19
PART B: 30% Women specific programmes,Demand No. 18,2,Ministry of Culture,Fellowship Scheme,3.47,3.5,3.5,3.7
PART B: 30% Women specific programmes,Demand No. 18,3,Ministry of Culture,Zonal Cultural Centres,13,14,14,14.7
PART B: 30% Women specific programmes,Demand No. 18,4,Ministry of Culture,Artist pension Scheme,2,2.4,2.4,2.5
PART B: 30% Women specific programmes,Demand No. 18,NA,Ministry of Culture,Total,36.57,38,38,39.9
PART B: 30% Women specific programmes,Demand No. 24,1,Ministry of Earth Sciences,Atmosphere and Climate Research Modelling Observing Systems and Services (ACROSS),33.5,34,34,35
PART B: 30% Women specific programmes,Demand No. 24,2,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",20,20,19,20
PART B: 30% Women specific programmes,Demand No. 24,3,Ministry of Earth Sciences,Ocean Services Modelling Applications Resources and Technology (O-SMART),71,80,70,80
PART B: 30% Women specific programmes,Demand No. 24,NA,Ministry of Earth Sciences,Total,124.5,134,123,135
PART B: 30% Women specific programmes,Demand No. 25,1,Department of School Education and Literacy,Kendriya Vidyalaya Sangathan,2040,2295,2253.6,2509.19
PART B: 30% Women specific programmes,Demand No. 25,2,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,1122,1234.5,1476.09,1645.95
PART B: 30% Women specific programmes,Demand No. 25,3,Department of School Education and Literacy,Samagra Shiksha,7518.26,11215.01,9645.5,11236.04
PART B: 30% Women specific programmes,Demand No. 25,4,Department of School Education and Literacy,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),3069.29,3070.13,6400,5800
